pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
Programming/Blues Fest-Deposit payment for Omari Coleman,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit payment to an external entity (Omari Coleman) for a specific event (Programming/Blues Fest), indicatin"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR APRIL 2024 FOR FF/EMT RAMIREZ,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct benefit disbursement to a firefighter/EMT family as a line-of-duty death benefit, which constitutes pas"
Programming/Arts Ed Advisory Council Participation-Peter Stover (Payment 2 of 2),exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a payment for advisory council participation (professional services rendered), which is a direct subgrant disbur"
"Programming/Blues Festival-Balance Payment for Oh My God Music, INC for Johnny",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Balance payment to a music festival vendor indicates a pass-through or disbursement funding arrangement rather than a di"
Programming/Arts Ed advisory council stipend payment 2,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Stipend payments to advisory council members are pass-through funding disbursements from the City, not procurement of go"
Programming/Blues Festival--Balance payment for Omari Coleman,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a balance payment for a festival performer, representing pass-through funding or honorarium, not a procurement o"
Programming/Blues Festival-Deposit Payment for Corey Harris (Ketch Agency),exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit payment to an artist/performer through an agency for a programming event, representing a pass-through "
Programming/Balance payment for Taste of Chicago-Robert DeLong Touring,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a balance payment for an entertainment vendor at a City event, representing pass-through funds to a contracted p"
Programming/Blues Festival-Deposit payment-The Hurricane Project,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Deposit payment to The Hurricane Project for a programming festival indicates a subgrant disbursement or pass-through fu"
Programming/Blues Festival-Grant Reviewer Full Payment,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Description indicates a grant full payment disbursement for a programming/blues festival, which is a pass-through fundin"
Programming/Blues Festival Grant Reviewer--Full payment for Barry Dolins,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a grant or subgrant payment to an individual for festival grant review services, which constitutes pass-through "
Programming/Blues Festival Grant Reviewer,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This describes a grant reviewer role for a music festival, indicating administrative work related to grant management an"
Programming/Blues Festival-Full Payment to JACQUELINE DIXON,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a full payment to an individual for programming/festival services, indicating a subgrant or pass-through disburs"
Programming/CCC Open house deposit,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): A deposit for a CCC (City Colleges of Chicago) open house event represents a pass-through funding disbursement to suppor"
Programming/Blues Festival-Deposit payment for Ivan Singh,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit payment for a festival event, indicating a pass-through funding disbursement rather than a procurement"
Programming/Blues Festival-VanderCook College of Music,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a pass-through funding payment to VanderCook College of Music for a programming/festival event, consistent with "
Programming/Catering for Memorial Day-Gold star Family Breakfast (Payment 2),exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This describes a pass-through payment for an event program, consistent with subgrant disbursement for Memorial Day activ"
Programming/Catering for Gospel Music Festival (Deposit),exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Description indicates a deposit payment for event programming and catering services associated with a festival, consiste"
"CFD DEATH BENEFIT PAYMENT FOR JANUARY 2023 FOR MASHAWN PLUMMER, DECEASED 12/21/2021",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment to a beneficiary, which is a pass-through disbursement from the City and falls under gra"
Programming/Dance Studio Residency Program deposit,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit for a residency program, indicating a subgrant disbursement to support a programming initiative rather"
Programming/Deposit payment for Taste of Chicago-Robert DeLong Touring,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit payment for a touring performer/artist for the Taste of Chicago event, which is a pass-through funding"
Programming/Deposit payment for Under the Dome-ARIELLA GRANADOS,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit payment to an individual (Ariella Granados) for programming services under a project called Under the "
Programming/Deposit for Inflatables at Taste of Chicago-AMJ,exact,Equipment Rental & Leasing,972,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Inflatables for Taste of Chicago event match the 972 NIGP class for Taste of Chicago food service equipment rental, indi"
CELLULAR CHARGES - NOV23 (728-00001) 312-343-4514,exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Monthly cellular service charges are standard telecommunications service that fits NIGP 725 (telephone equipment and tec"
Programming/Food Vendor Stipend-Taste Marquette Park-Dulce Roman dba Chillafry LLC,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a stipend payment to a food vendor for participation in a city programming event, which constitutes pass-through"
Programming/Deposit payment to Anissa Hampton for her performance at the 2024 Chicago Blues Festival,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Direct payment/disbursement to performer is a pass-through funding arrangement for a festival event."
Programming/Food vendor stipend for Taste Pullman Park-Oooh Wee Soulful Innovations Corp.,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a vendor stipend payment to a food vendor as part of a community programming event, representing a pass-through "
Programming/Food vendor stipend for Taste Pullman Park-The Sole Ingredient Catering LLC,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct financial disbursement/stipend to a vendor for event catering services, which qualifies as pass-through"
Programming/Food vendor stipend for Taste Pullman Park-Whadda Jerk,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a stipend payment to a food vendor for a community event, which constitutes pass-through funding to an external "
"Programming/Final payment for hotel rooms, World Music Festival-ALLEGRO HOTEL",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a pass-through payment for an event (World Music Festival) hotel accommodation, representing grant or program fu"
Programming/Full Payment for World Music Festival-Hasmukh Swar Withholding 30% tax for IRS,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a subgrant or pass-through payment to a third party (Hasmukh Swar) for festival programming with tax withholding"
"Programming/Full Payment for World Music Festival-KMR SCHOOL OF MRIDANGAM *Withholding 30% tax for IRS on $3,000*",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a subgrant disbursement to an educational organization (KMR School of Mridangam) for a cultural event program, w"
Programming/Food truck vendor stipend for Taste of Marquette Park-Tacos Marios Limited,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a vendor stipend/subsidy payment for a food truck at a city event, which is a pass-through funding disbursement "
Programming/Food truck vendor stipend for Taste of Marquette Park,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a stipend payment to food truck vendors for a city event (Taste of Marquette Park), which is a subsidy disbursem"
Programming/Food truck stipend for Taste Pullman Park-Just Desserts 4 You-Ms. Tittle Cupcakes,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a stipend/funding disbursement to a food vendor (Just Desserts 4 You/Ms. Tittle Cupcakes) for a city event (Tast"
Programming/Food vendor stipend Taste Pullman Park,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a stipend disbursement to a food vendor for programming at a park, which is a pass-through or subgrant funding d"
Programming/Food vendor stipend for Pullman Park Taste-PUFFS OF DOOM dba Doom Street Eats,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Stipend payment to a food vendor is a pass-through funding disbursement, not a procurement of goods or services for City"
Programming/Food vendor stipend for Taste Pullman Park,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Stipend payments to food vendors are pass-through funding disbursements, not procurement of goods or services by the cit"
Programming/Food vendor stipend for Taste Pullman Park-Chef Life 19,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a vendor stipend/payment for a community food programming event at Taste Pullman Park, functioning as pass-throu"
Programming/Food vendor stipend for Taste Pullman Park-Donut Dudes,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a stipend/pass-through funding distribution to a food vendor for an event, not a direct commodity or service pur"
Programming/Food vendor stipend for Taste Pullman Park-CHICAGO'S DOG HOUSE,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a stipend payment to a food vendor as part of a community event program, representing pass-through funding or ve"
Programming/Food vendor stipend for Taste of Pullman Park-El Campeon,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a stipend disbursement to a food vendor for a city event, constituting pass-through funding rather than a procur"
Programming/Healing Arts Advisory Payment 2 of 2-Veronica Nevarez,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Second payment installment for programming/healing arts advisory services indicates a subgrant disbursement or pass-thro"
"Programming/Food vendor stipend for Taste Pullman Park-Chicago Eats Sweet Honey Tea & Lemonade, Inc dba as Chicago Eats Market Place",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a vendor stipend/subgrant disbursement to a food vendor for a city programming event, which is pass-through fund"
Programming/Food vendor stipend for Taste of Pullman Park-Cool N Smooth Smoothies,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct vendor stipend/disbursement to a food vendor for a City event, which constitutes pass-through funding r"
Programming/Food vendor stipend for Taste at Marquette Park-Fifty-One 50 Fusion,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a vendor stipend/payment for programming services at a specific event, which represents pass-through funding to "
Programming/Food vendor stipend for Taste Pullman Park-Catered By Kish LLC,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a stipend payment to a food vendor for catered services at a community event, functioning as pass-through fundin"
Programming/Food vendor stipend for taste Pullman Park,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Stipend disbursement to a food vendor for a community event is a pass-through funding payment, not a goods/service procu"
Programming/Food vendor stipend for Taste Pullman Park-African Food Palace,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a vendor stipend/pass-through payment for a food vendor at a city event, not a direct procurement of goods or se"
Programming/Food vendor stipend taste Pullman Park-CYNTHIA'S GUMBO EXPRESS,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a vendor stipend (direct payment to a food vendor for participation in a city event), which is a pass-through fu"
Programming/Food vendor stipend taste Pullman Park-La Guerita Mexican Snacks,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a vendor stipend (pass-through funding) for a food vendor at an event, which falls under grants and subgrant dis"
Programming/Full Payment for Jazz Festival-Lincoln Park Band and Orchestra Parents,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a payment to fund a jazz festival program for parents, representing pass-through funding or grant disbursement t"
Programming/Full Balance for Latin Heritage Celebration-TIERRA COLOMBIANA DANCE CO.,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a funding disbursement for a cultural event performer/organization (Tierra Colombiana Dance Company), representi"
Programming/Full Payment for World Music Festival-GANESH RAJAGOPALAN,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Full payment for programming at a music festival indicates a subgrant or pass-through funding disbursement to an externa"
Programming/Gospel Music Fest deposit,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): A deposit for a music festival event represents a pass-through funding disbursement to support a community event, fittin"
